Date,Open,High,Low,Close,Adj Close,Volume
2021-04-14,29.620001,29.860001,29.309999,29.600000,29.090014,19795800
2021-04-15,29.629999,30.070000,29.350000,29.639999,29.129322,18247900
2021-04-16,29.590000,29.850000,29.500000,29.770000,29.257084,12978300
2021-04-19,29.799999,30.190001,29.570000,29.620001,29.109667,21502100
2021-04-20,29.629999,30.459999,29.629999,30.100000,29.581396,23616900
2021-04-22,30.410000,30.420000,29.650000,29.830000,29.316050,17866100
2021-04-23,29.910000,30.290001,29.830000,30.070000,29.551912,14247700
2021-04-26,30.150000,30.549999,29.879999,30.100000,29.581396,9847700
2021-04-27,30.059999,30.100000,29.660000,29.770000,29.257084,12904800
2021-04-28,29.990000,30.370001,29.850000,30.299999,29.777950,15213600
2021-04-29,30.299999,30.520000,29.570000,29.639999,29.129322,14692400
2021-04-30,29.670000,29.850000,29.440001,29.639999,29.129322,12656100
2021-05-03,29.820000,30.030001,29.549999,29.750000,29.237427,10099500
2021-05-04,29.900000,29.969999,29.190001,29.370001,28.863974,12237700
2021-05-05,29.580000,29.580000,28.809999,29.260000,28.755871,16210900
2021-05-06,29.230000,29.430000,28.950001,29.209999,28.706730,15660500
2021-05-07,30.000000,30.480000,29.760000,29.940001,29.424154,26800800
2021-05-10,30.040001,30.559999,29.900000,30.330000,29.807432,14576400
2021-05-11,30.100000,30.549999,30.030001,30.549999,30.023642,11218800
2021-05-12,30.350000,30.830000,30.180000,30.350000,29.827089,13799900
2021-05-13,30.500000,31.350000,30.400000,31.160000,30.623135,22033900
2021-05-14,31.600000,31.730000,30.959999,31.160000,30.623135,12084500
2021-05-17,31.340000,31.860001,31.139999,31.709999,31.163656,12550500
2021-05-18,31.709999,32.369999,31.709999,32.150002,31.596079,14836600
2021-05-19,31.799999,32.799999,31.530001,32.700001,32.136600,14952800
2021-05-20,32.750000,33.000000,32.560001,32.799999,32.234879,17411700
2021-05-21,33.000000,33.220001,32.700001,33.080002,32.510056,14726800
2021-05-24,32.939999,33.029999,32.779999,32.880001,32.723476,11099200
2021-05-25,32.939999,33.020000,32.209999,32.439999,32.285568,9570500
2021-05-26,32.590000,33.090000,32.259998,32.980000,32.823002,16118700
2021-05-27,32.939999,33.599998,32.689999,33.430000,33.270859,17922800
2021-05-28,33.349998,33.660000,33.200001,33.540001,33.380337,9082600
2021-05-31,33.509998,33.799999,33.349998,33.490002,33.330574,6579500
2021-06-01,33.799999,34.020000,33.500000,33.980000,33.818241,10740200
2021-06-02,33.990002,35.369999,33.959999,35.200001,35.032433,26347900
2021-06-04,35.000000,35.840000,34.930000,35.750000,35.579815,13927500
2021-06-07,35.770000,36.750000,35.500000,36.520000,36.346149,21783200
2021-06-08,36.400002,36.669998,35.770000,36.299999,36.127193,20839000
2021-06-09,36.200001,36.360001,34.980000,35.599998,35.430527,21292700
2021-06-10,35.849998,36.180000,35.500000,35.500000,35.331005,11793600
2021-06-11,35.599998,35.599998,35.040001,35.400002,35.231483,9429200
2021-06-14,0.000000,0.000000,0.000000,35.619999,35.619999,0
